,name,metric_type,area,perimeter,perimeter_area_ratio,shape_index,fractal_dimension
319,mix_years_jiao_zuo_shi_2017_2019,Mean,6.983762434646166,1176.9712916767573,976.4311447729175,1.2607820298072967,1.0453771167024364
320,no_distance_zao_zhuang_shi_2017_2019,STD,190.25898582739296,18575.9754542143,439.52986544991955,0.6718078172144979,0.05187630758986281
321,no_distance_zao_zhuang_shi_2017_2019,Mean,5.950497064920639,1104.2165637400606,913.9026776232976,1.2852485582311197,1.0469444443800695
322,with_distance_ji_nan_shi_2017_2019,STD,260.7199163681257,35802.708227787654,434.94174301645137,0.7544628703810662,0.05311964423942462
323,with_distance_ji_nan_shi_2017_2019,Mean,5.173773823393264,1103.3024023563573,933.1367228884501,1.2842723097935256,1.0470926259440922
324,mix_years_bin_zhou_shi_2017_2019,STD,121.38180445047766,13702.990394658447,443.57769603178474,0.675111995240593,0.05122400665516864
325,mix_years_bin_zhou_shi_2017_2019,Mean,6.289225951790345,1165.2333109841836,854.7164772898092,1.2872698041298538,1.0466617954952606
326,with_distance_cang_zhou_shi_2017_2019,STD,92.51131944641868,12374.933442547455,445.19660627464873,0.7096650349649404,0.054455498289858045
327,with_distance_cang_zhou_shi_2017_2019,Mean,4.714115130764013,1019.6973319158639,985.2633812629537,1.2900187853523508,1.0473045989582241
328,mix_years_han_dan_shi_2017_2019,STD,185.0128339431165,20821.25203638445,491.82042985950864,0.742857302548199,0.05348110373962205
329,mix_years_han_dan_shi_2017_2019,Mean,7.6867135633056956,1353.0658454369816,910.6754143528951,1.3260352074578865,1.0499030162874616
330,with_distance_tian_jin_shi_2017_2019,STD,315.60791309206036,49104.91789064657,418.409370627447,0.9362360777125129,0.05523685969324476
331,with_distance_tian_jin_shi_2017_2019,Mean,7.547758495350638,1461.9146048271857,919.3764568390698,1.3120711366883022,1.0492349877025566
332,mix_years_liu_an_shi_2017_2019,STD,87.94831652080444,11856.939835232188,402.34923239395073,0.5274959627573795,0.04990714479738914
333,mix_years_liu_an_shi_2017_2019,Mean,2.248304870539517,668.8414207519928,908.7096828834555,1.251434896387882,1.0472799567243587
334,no_distance_san_men_xia_shi_2017_2019,STD,44.68581246097382,6685.757937854744,399.6289435934552,0.6301579962705391,0.05155886199301849
335,no_distance_san_men_xia_shi_2017_2019,Mean,2.8893140660559906,807.192971789097,918.2498908205114,1.2825779894901475,1.0506969454805573
336,mix_years_zheng_zhou_shi_2017_2019,STD,937.5952834186551,101204.41128297137,451.8323562460335,0.812908873616609,0.04728294359929385
337,mix_years_zheng_zhou_shi_2017_2019,Mean,8.527617904072518,1320.068711935827,960.4041711734624,1.2334122950034314,1.0428351288022903
338,with_distance_an_qing_shi_2017_2019,STD,68.29527444321303,8594.122578356022,389.7864160379805,0.5491335297325958,0.05032614143630092
339,with_distance_an_qing_shi_2017_2019,Mean,2.220290363971301,675.4463829828907,899.5986021404717,1.2587054578594814,1.0485609602675718
340,no_distance_shi_jia_zhuang_shi_2017_2019,STD,229.03305345511637,32397.989093168304,447.14783978650826,0.7729160603809491,0.05385952665910155
341,no_distance_shi_jia_zhuang_shi_2017_2019,Mean,6.22199542469375,1225.9676177536182,916.4318425744917,1.3176676784007773,1.0514521457593387
342,mix_years_tian_jin_shi_2017_2019,STD,305.60535577729416,44919.58800378152,432.6197940998601,0.8839138224931746,0.053957879065439515
343,mix_years_tian_jin_shi_2017_2019,Mean,7.75360949496368,1422.3642848927898,914.6374580235536,1.2993552624671973,1.0475777654509333
344,mix_no_years_xin_yang_shi_2017_2019,STD,51.08653244243245,6751.946700570878,407.8340971699874,0.48220194332246247,0.049297954286200076
345,mix_no_years_xin_yang_shi_2017_2019,Mean,1.7327676246660526,566.4397864182961,984.8110864837647,1.2170837379317225,1.044935223974875
346,no_distance_nan_tong_shi_2017_2019,STD,172.465014491276,26222.72271874522,365.955601771883,0.7352233008254072,0.05789062602518373
347,no_distance_nan_tong_shi_2017_2019,Mean,2.540963339683964,771.698011475397,1020.4454899463129,1.2889887697592282,1.0507892765781626
348,with_distance_jiao_zuo_shi_2017_2019,STD,277.58931612683,32339.64452579178,455.32843368147945,0.7810195057871399,0.05441062724176257
349,with_distance_jiao_zuo_shi_2017_2019,Mean,6.243791347410376,1135.446523370335,1024.8541858942995,1.2820307416899335,1.0481013372638763
350,mix_no_years_yang_zhou_shi_2017_2019,STD,112.69359912037928,17191.16723041157,377.8400771583567,0.6549054655151846,0.04959836823193933
