img_type,city,Acc_type,val,year
mix_no_years,bao_ding_shi,FoM,0.10355840506953257,2017_2019
mix_no_years,bao_ding_shi,Change_ratio,0.12644684960674352,2017_2019
mix_no_years,bao_ding_shi,Overal_Acc,0.9779892094061691,2017_2019
mix_no_years,xin_yang_shi,FoM,0.08007853833815837,2017_2019
mix_no_years,xin_yang_shi,Change_ratio,0.1508741566754389,2017_2019
mix_no_years,xin_yang_shi,Overal_Acc,0.9743062663186465,2017_2019
mix_no_years,liu_an_shi,FoM,0.09968063218848469,2017_2019
mix_no_years,liu_an_shi,Change_ratio,0.1797584093592858,2017_2019
mix_no_years,liu_an_shi,Overal_Acc,0.9727760001021507,2017_2019
mix_no_years,bei_jing_shi,FoM,0.08283594992159742,2017_2019
mix_no_years,bei_jing_shi,Change_ratio,0.10392766886540071,2017_2019
mix_no_years,bei_jing_shi,Overal_Acc,0.9784388991416328,2017_2019
mix_no_years,nan_jing_shi,FoM,0.08887071747327711,2017_2019
mix_no_years,nan_jing_shi,Change_ratio,0.11131075029989959,2017_2019
mix_no_years,nan_jing_shi,Overal_Acc,0.9499640969552073,2017_2019
mix_no_years,nan_tong_shi,FoM,0.0827724676067109,2017_2019
mix_no_years,nan_tong_shi,Change_ratio,0.1420939845987103,2017_2019
mix_no_years,nan_tong_shi,Overal_Acc,0.9425529636536479,2017_2019
mix_no_years,nan_yang_shi,FoM,0.0689915489760055,2017_2019
mix_no_years,nan_yang_shi,Change_ratio,0.19974325302431237,2017_2019
mix_no_years,nan_yang_shi,Overal_Acc,0.9639112299823641,2017_2019
mix_no_years,he_fei_shi,FoM,0.1322806573042686,2017_2019
mix_no_years,he_fei_shi,Change_ratio,0.2185490686439131,2017_2019
mix_no_years,he_fei_shi,Overal_Acc,0.9250648301674271,2017_2019
mix_no_years,zhou_kou_shi,FoM,0.06715461936237432,2017_2019
mix_no_years,zhou_kou_shi,Change_ratio,0.094844749000245,2017_2019
mix_no_years,zhou_kou_shi,Overal_Acc,0.972283058435488,2017_2019
mix_no_years,tang_shan_shi,FoM,0.1307530816477401,2017_2019
mix_no_years,tang_shan_shi,Change_ratio,0.14316946771418668,2017_2019
mix_no_years,tang_shan_shi,Overal_Acc,0.9698898254316038,2017_2019
mix_no_years,shang_qiu_shi,FoM,0.08432606933564614,2017_2019
mix_no_years,shang_qiu_shi,Change_ratio,0.1310154517215989,2017_2019
mix_no_years,shang_qiu_shi,Overal_Acc,0.9572401192482124,2017_2019
mix_no_years,tian_jin_shi,FoM,0.09388585211363955,2017_2019
mix_no_years,tian_jin_shi,Change_ratio,0.112528310172732,2017_2019
mix_no_years,tian_jin_shi,Overal_Acc,0.9639815649065987,2017_2019
mix_no_years,wei_hai_shi,FoM,0.14059241501600728,2017_2019
mix_no_years,wei_hai_shi,Change_ratio,0.17438720938637411,2017_2019
mix_no_years,wei_hai_shi,Overal_Acc,0.9698115197219612,2017_2019
mix_no_years,an_qing_shi,FoM,0.10477614000100632,2017_2019
mix_no_years,an_qing_shi,Change_ratio,0.2091608356759995,2017_2019
mix_no_years,an_qing_shi,Overal_Acc,0.9707729789537637,2017_2019
mix_no_years,an_yang_shi,FoM,0.07874346405306379,2017_2019
mix_no_years,an_yang_shi,Change_ratio,0.08543878722182727,2017_2019
mix_no_years,an_yang_shi,Overal_Acc,0.9797030375063298,2017_2019
mix_no_years,xuan_cheng_shi,FoM,0.06227423857025268,2017_2019
mix_no_years,xuan_cheng_shi,Change_ratio,0.13334039861503225,2017_2019
mix_no_years,xuan_cheng_shi,Overal_Acc,0.9863352748420652,2017_2019
mix_no_years,su_qian_shi,FoM,0.09617355321190199,2017_2019
mix_no_years,su_qian_shi,Change_ratio,0.13920292308776566,2017_2019
mix_no_years,su_qian_shi,Overal_Acc,0.965381295965094,2017_2019
mix_no_years,chang_zhou_shi,FoM,0.060216678492041376,2017_2019
mix_no_years,chang_zhou_shi,Change_ratio,0.07559103554414646,2017_2019
mix_no_years,chang_zhou_shi,Overal_Acc,0.9644504026828432,2017_2019
mix_no_years,ping_ding_shan_shi,FoM,0.07246444974285088,2017_2019
mix_no_years,ping_ding_shan_shi,Change_ratio,0.08231944559374574,2017_2019
mix_no_years,ping_ding_shan_shi,Overal_Acc,0.9804396234842004,2017_2019
mix_no_years,lang_fang_shi,FoM,0.10518992522306986,2017_2019
mix_no_years,lang_fang_shi,Change_ratio,0.1165430589291062,2017_2019
mix_no_years,lang_fang_shi,Overal_Acc,0.9656369698791214,2017_2019
mix_no_years,kai_feng_shi,FoM,0.1732566303880844,2017_2019
mix_no_years,kai_feng_shi,Change_ratio,0.25165745811451246,2017_2019
mix_no_years,kai_feng_shi,Overal_Acc,0.9049704501267033,2017_2019
mix_no_years,zhang_jia_kou_shi,FoM,0.10453382199307792,2017_2019
mix_no_years,zhang_jia_kou_shi,Change_ratio,0.27434314284562894,2017_2019
mix_no_years,zhang_jia_kou_shi,Overal_Acc,0.9820874598443831,2017_2019
mix_no_years,xu_zhou_shi,FoM,0.12213863800972077,2017_2019
mix_no_years,xu_zhou_shi,Change_ratio,0.12309543018304807,2017_2019
mix_no_years,xu_zhou_shi,Overal_Acc,0.953727691406334,2017_2019
mix_no_years,de_zhou_shi,FoM,0.04684613416898928,2017_2019
mix_no_years,de_zhou_shi,Change_ratio,0.06811594536493648,2017_2019
mix_no_years,de_zhou_shi,Overal_Acc,0.9829585719630283,2017_2019
mix_no_years,yang_zhou_shi,FoM,0.08989632233029148,2017_2019
mix_no_years,yang_zhou_shi,Change_ratio,0.13369104166922896,2017_2019
mix_no_years,yang_zhou_shi,Overal_Acc,0.9617300525984304,2017_2019
mix_no_years,cheng_de_shi,FoM,0.1306162005019155,2017_2019
mix_no_years,cheng_de_shi,Change_ratio,0.36488530051896995,2017_2019
mix_no_years,cheng_de_shi,Overal_Acc,0.9934749617348738,2017_2019
mix_no_years,xin_xiang_shi,FoM,0.1051034507021903,2017_2019
mix_no_years,xin_xiang_shi,Change_ratio,0.109069761374009,2017_2019
mix_no_years,xin_xiang_shi,Overal_Acc,0.96863368424339,2017_2019
mix_no_years,wu_xi_shi,FoM,0.058313538077484,2017_2019
mix_no_years,wu_xi_shi,Change_ratio,0.05087218617124548,2017_2019
mix_no_years,wu_xi_shi,Overal_Acc,0.9737773779623511,2017_2019
mix_no_years,ri_zhao_shi,FoM,0.17748884895606645,2017_2019
mix_no_years,ri_zhao_shi,Change_ratio,0.20211410575867567,2017_2019
mix_no_years,ri_zhao_shi,Overal_Acc,0.9561820915136169,2017_2019
mix_no_years,zao_zhuang_shi,FoM,0.08901345828526785,2017_2019
mix_no_years,zao_zhuang_shi,Change_ratio,0.09457934401806085,2017_2019
mix_no_years,zao_zhuang_shi,Overal_Acc,0.9662385511618198,2017_2019
mix_no_years,chi_zhou_shi,FoM,0.09506002249195644,2017_2019
mix_no_years,chi_zhou_shi,Change_ratio,0.18118996599753234,2017_2019
mix_no_years,chi_zhou_shi,Overal_Acc,0.9838539921957424,2017_2019
mix_no_years,cang_zhou_shi,FoM,0.06696238653790411,2017_2019
mix_no_years,cang_zhou_shi,Change_ratio,0.08671993794235387,2017_2019
mix_no_years,cang_zhou_shi,Overal_Acc,0.978507453452969,2017_2019
mix_no_years,tai_an_shi,FoM,0.07389633835969094,2017_2019
mix_no_years,tai_an_shi,Change_ratio,0.10357961086196434,2017_2019
mix_no_years,tai_an_shi,Overal_Acc,0.9688469403017179,2017_2019
mix_no_years,tai_zhou_shi,FoM,0.13627886510941167,2017_2019
mix_no_years,tai_zhou_shi,Change_ratio,0.17196404886252434,2017_2019
mix_no_years,tai_zhou_shi,Overal_Acc,0.9413328357956596,2017_2019
mix_no_years,luo_yang_shi,FoM,0.07879742252526331,2017_2019
mix_no_years,luo_yang_shi,Change_ratio,0.07796160401725205,2017_2019
mix_no_years,luo_yang_shi,Overal_Acc,0.9906606161555639,2017_2019
mix_no_years,ji_nan_shi,FoM,0.05892228637596182,2017_2019
mix_no_years,ji_nan_shi,Change_ratio,0.0750061074992618,2017_2019
mix_no_years,ji_nan_shi,Overal_Acc,0.9775601365790089,2017_2019
mix_no_years,ji_ning_shi,FoM,0.0709887513520185,2017_2019
mix_no_years,ji_ning_shi,Change_ratio,0.08871891413839113,2017_2019
mix_no_years,ji_ning_shi,Overal_Acc,0.9736006147023808,2017_2019
mix_years,su_zhou_shi,FoM,0.045989388251672945,2017_2019
mix_years,su_zhou_shi,Change_ratio,0.04763901077394161,2017_2019
mix_years,su_zhou_shi,Overal_Acc,0.977746925876791,2017_2019
mix_years,zi_bo_shi,FoM,0.11073994317325166,2017_2019
mix_years,zi_bo_shi,Change_ratio,0.1205544333604409,2017_2019
mix_years,zi_bo_shi,Overal_Acc,0.963821460043233,2017_2019
mix_years,huai_bei_shi,FoM,0.08963772479749345,2017_2019
mix_years,huai_bei_shi,Change_ratio,0.11252986907814622,2017_2019
mix_years,huai_bei_shi,Overal_Acc,0.9649262707844696,2017_2019
mix_years,huai_nan_shi,FoM,0.07192507953256704,2017_2019
mix_years,huai_nan_shi,Change_ratio,0.08889169017303795,2017_2019
mix_years,huai_nan_shi,Overal_Acc,0.9678433259970528,2017_2019
mix_years,huai_an_shi,FoM,0.11790680790260705,2017_2019
mix_years,huai_an_shi,Change_ratio,0.1882443908154606,2017_2019
mix_years,huai_an_shi,Overal_Acc,0.9629058970120227,2017_2019
mix_years,chu_zhou_shi,FoM,0.09464294032008783,2017_2019
mix_years,chu_zhou_shi,Change_ratio,0.18475944101808034,2017_2019
mix_years,chu_zhou_shi,Overal_Acc,0.9634707456013212,2017_2019
mix_years,bin_zhou_shi,FoM,0.06629030909698917,2017_2019
mix_years,bin_zhou_shi,Change_ratio,0.11019656901336307,2017_2019
mix_years,bin_zhou_shi,Overal_Acc,0.9710848809035887,2017_2019
mix_years,ta_he_shi,FoM,0.0880602244569539,2017_2019
mix_years,ta_he_shi,Change_ratio,0.07981499322237888,2017_2019
mix_years,ta_he_shi,Overal_Acc,0.9763472076972236,2017_2019
mix_years,wei_fang_shi,FoM,0.12733647553522032,2017_2019
